"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 08 12:39:24 IST 2024","Thu Feb 08 12:39:30 IST 2024","5643","testCases","test_userLogin","Test_UserLogin","","","test_userLogin_002",""
"passed","Thu Feb 08 12:39:16 IST 2024","Thu Feb 08 12:39:16 IST 2024","152","testCases","test_userLogin","Test_UserLogin","","","NonCom - Test page_title","My test description"
